"pkdCode","class"
729,"Górnictwo pozostałych rud metali nieżelaznych"
4664,"Sprzedaż hurtowa maszyn dla przemysłu tekstylnego oraz maszyn do szycia i maszyn dziewiarskich"
8129,"Pozostałe sprzątanie"
8211,"Działalność usługowa związana z administracyjną obsługą biura"
1811,"Drukowanie gazet"
2369,"Produkcja pozostałych wyrobów z betonu, gipsu i cementu"
6511,"Ubezpieczenia na życie"
2110,"Produkcja podstawowych substancji farmaceutycznych"
8623,"Praktyka lekarska dentystyczna"
2740,"Produkcja elektrycznego sprzętu oświetleniowego"
2059,"Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana"
145,"Chów i hodowla owiec i kóz"
1622,"Produkcja gotowych parkietów podłogowych"
6190,"Działalność w zakresie pozostałej telekomunikacji"
2733,"Produkcja sprzętu instalacyjnego"
5040,"Transport wodny śródlądowy towarów"
2670,"Produkcja instrumentów optycznych i sprzętu fotograficznego"
8423,"Wymiar sprawiedliwości"
990,"Działalność usługowa wspomagająca pozostałe górnictwo i wydobywanie"
3522,"Dystrybucja paliw gazowych w systemie sieciowym"
7711,"Wynajem i dzierżawa samochodów osobowych i furgonetek"
1032,"Produkcja soków z owoców i warzyw"
3101,"Produkcja mebli biurowych i sklepowych"
2313,"Produkcja szkła gospodarczego"
4333,"Posadzkarstwo; tapetowanie i oblicowywanie ścian"
4742,"Sprzedaż detaliczna sprzętu telekomunikacyjnego prowadzona w wyspecjalizowanych sklepach"
6530,"Fundusze emerytalne"
4617,"Działalność agentów zajmujących się sprzedażą żywności, napojów i wyrobów tytoniowych"
4942,"Działalność usługowa związana z przeprowadzkami"
1041,"Produkcja olejów i pozostałych tłuszczów płynnych"
2620,"Produkcja komputerów i urządzeń peryferyjnych"
4761,"Sprzedaż detaliczna książek prowadzona w wyspecjalizowanych sklepach"
2680,"Produkcja magnetycznych i optycznych niezapisanych nośników informacji"
146,"Chów i hodowla świń"
2812,"Produkcja sprzętu i wyposażenia do napędu hydraulicznego i pneumatycznego"
3831,"Demontaż wyrobów zużytych"
4775,"Sprzedaż detaliczna kosmetyków i artykułów toaletowych prowadzona w wyspecjalizowanych sklepach"
7111,"Działalność w zakresie architektury"
7740,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
4623,"Sprzedaż hurtowa żywych zwierząt"
4666,"Sprzedaż hurtowa pozostałych maszyn i urządzeń biurowych"
2611,"Produkcja elementów elektronicznych"
6430,"Działalność trustów, funduszów i podobnych instytucji finansowych"
2020,"Produkcja pestycydów i pozostałych środków agrochemicznych"
3317,"Naprawa i konserwacja pozostałego sprzętu transportowego"
2444,"Produkcja miedzi"
8532,"Szkoły prowadzące kształcenie zawodowe, z wyłączeniem szkół policealnych"
5520,"Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania"
6612,"Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych"
2370,"Cięcie, formowanie i wykańczanie kamienia"
1723,"Produkcja artykułów piśmiennych"
2012,"Produkcja barwników i pigmentów"
5814,"Wydawanie czasopism i pozostałych periodyków"
4329,"Wykonywanie pozostałych instalacji budowlanych"
8411,"Kierowanie podstawowymi rodzajami działalności publicznej"
8541,"Szkoły policealne, kolegia pracowników służb społecznych i placówki doskonalenia nauczycieli"
2420,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
3832,"Odzysk surowców z materiałów segregowanych"
1721,"Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury"
3311,"Naprawa i konserwacja metalowych wyrobów gotowych"
9524,"Naprawa i konserwacja mebli i wyposażenia domowego"
2813,"Produkcja pozostałych pomp i sprężarek"
2593,"Produkcja wyrobów z drutu, łańcuchów i sprężyn"
1071,"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek"
721,"Górnictwo rud uranu i toru"
8542,"Szkoły wyższe"
1031,"Przetwarzanie i konserwowanie ziemniaków"
1392,"Produkcja gotowych wyrobów tekstylnych"
891,"Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów"
2630,"Produkcja sprzętu (tele)komunikacyjnego"
6202,"Działalność związana z doradztwem w zakresie informatyki"
1414,"Produkcja bielizny"
9525,"Naprawa zegarów, zegarków oraz biżuterii"
2896,"Produkcja maszyn do obróbki gumy lub tworzyw sztucznych oraz wytwarzania wyrobów z tych materiałów"
2824,"Produkcja narzędzi ręcznych mechanicznych"
7112,"Działalność w zakresie inżynierii i związane z nią doradztwo techniczne"
2320,"Produkcja wyrobów ogniotrwałych"
7830,"Pozostała działalność związana z udostępnianiem pracowników"
3512,"Przesyłanie energii elektrycznej"
8720,"Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi"
610,"Górnictwo ropy naftowej"
4778,"Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach"
2052,"Produkcja klejów"
4674,"Sprzedaż hurtowa wyrobów metalowych oraz sprzętu i dodatkowego wyposażenia hydraulicznego i grzejnego"
3092,"Produkcja rowerów i wózków inwalidzkich"
6621,"Działalność związana z oceną ryzyka i szacowaniem poniesionych strat"
7735,"Wynajem i dzierżawa środków transportu lotniczego"
1623,"Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa"
9499,"Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana"
1013,"Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego"
510,"Wydobywanie węgla kamiennego"
111,"Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu"
2920,"Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep"
5110,"Transport lotniczy pasażerski"
5223,"Działalność usługowa wspomagająca transport lotniczy"
8560,"Działalność wspomagająca edukację"
1391,"Produkcja dzianin metrażowych"
2652,"Produkcja zegarków i zegarów"
4532,"Sprzedaż detaliczna części i akcesoriów do pojazdów samochodowych, z wyłączeniem motocykli"
149,"Chów i hodowla pozostałych zwierząt"
4789,"Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach"
4312,"Przygotowanie terenu pod budowę"
3213,"Produkcja sztucznej biżuterii i wyrobów podobnych"
1200,"PRODUKCJA WYROBÓW TYTONIOWYCH"
6611,"Zarządzanie rynkami finansowymi"
7733,"Wynajem i dzierżawa maszyn i urządzeń biurowych, włączając komputery"
5812,"Wydawanie wykazów oraz list (np. adresowych, telefonicznych)"
2343,"Produkcja ceramicznych izolatorów i osłon izolacyjnych"
125,"Uprawa pozostałych drzew i krzewów owocowych oraz orzechów"
9313,"Działalność obiektów służących poprawie kondycji fizycznej"
5829,"Działalność wydawnicza w zakresie pozostałego oprogramowania"
6411,"Działalność banku centralnego"
4644,"Sprzedaż hurtowa wyrobów porcelanowych, ceramicznych i szklanych oraz środków czyszczących"
1393,"Produkcja dywanów i chodników"
8030,"Działalność detektywistyczna"
5229,"Pozostała działalność usługowa wspomagająca transport"
4690,"Sprzedaż hurtowa niewyspecjalizowana"
7211,"Badania naukowe i prace rozwojowe w dziedzinie biotechnologii"
8421,"Sprawy zagraniczne"
4221,"Roboty związane z budową rurociągów przesyłowych i sieci rozdzielczych"
4711,"Sprzedaż detaliczna prowadzona w niewyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych"
9411,"Działalność organizacji komercyjnych i pracodawców"
2599,"Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana"
3700,"ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW"
