"pkdCode","group"
11,"Uprawy rolne inne niż wieloletnie "
12,"Uprawa roślin wieloletnich"
13,"Rozmnażanie roślin"
14,"Chów i hodowla zwierząt"
15,"Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana)"
16,"Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach"
17,"Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową"
31,"Rybołówstwo"
32,"Chów i hodowla ryb oraz pozostałych organizmów wodnych"
71,"Górnictwo rud żelaza"
72,"Górnictwo rud metali nieżelaznych"
81,"Wydobywanie kamienia, piasku i gliny"
89,"Górnictwo i wydobywanie, gdzie indziej niesklasyfikowane"
104,"Produkcja olejów i tłuszczów pochodzenia roślinnego i zwierzęcego"
105,"Wytwarzanie wyrobów mleczarskich"
107,"Produkcja wyrobów piekarskich i mącznych"
108,"Produkcja pozostałych artykułów spożywczych"
109,"Produkcja gotowych paszy i karmy dla zwierząt"
106,"Wytwarzanie produktów przemiału zbóż, skrobi i wyrobów skrobiowych"
101,"Przetwarzanie i konserwowanie mięsa oraz produkcja wyrobów z mięsa"
102,"Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków"
103,"Przetwarzanie i konserwowanie owoców i warzyw"
131,"Przygotowanie i przędzenie włókien tekstylnych"
132,"Produkcja tkanin"
133,"Wykończanie wyrobów włókienniczych"
139,"Produkcja pozostałych wyrobów tekstylnych"
141,"Produkcja odzieży, z wyłączeniem wyrobów futrzarskich"
142,"Produkcja wyrobów futrzarskich"
143,"Produkcja odzieży dzianej"
152,"Produkcja obuwia"
205,"Produkcja pozostałych wyrobów chemicznych"
206,"Produkcja włókien chemicznych"
202,"Produkcja pestycydów i pozostałych środków agrochemicznych"
203,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"
204,"Produkcja mydła i detergentów, środków myjących i czyszczących, wyrobów kosmetycznych i toaletowych"
221,"Produkcja wyrobów z gumy"
222,"Produkcja wyrobów z tworzyw sztucznych"
161,"Produkcja wyrobów tartacznych"
162,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania"
171,"Produkcja masy włóknistej, papieru i tektury"
172,"Produkcja wyrobów z papieru i tektury"
181,"Drukowanie i działalność usługowa związana z poligrafią"
182,"Reprodukcja zapisanych nośników informacji"
231,"Produkcja szkła i wyrobów ze szkła"
232,"Produkcja wyrobów ogniotrwałych"
233,"Produkcja ceramicznych materiałów budowlanych"
234,"Produkcja pozostałych wyrobów z porcelany i ceramiki"
235,"Produkcja cementu, wapna i gipsu"
236,"Produkcja wyrobów z betonu, cementu i gipsu"
237,"Cięcie, formowanie i wykańczanie kamienia"
241,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
242,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
243,"Produkcja pozostałych wyrobów ze stali poddanej wstępnej obróbce"
244,"Produkcja metali szlachetnych i innych metali nieżelaznych"
245,"Odlewnictwo metali"
272,"Produkcja baterii i akumulatorów"
273,"Produkcja izolowanych przewodów i kabli oraz sprzętu instalacyjnego"
274,"Produkcja elektrycznego sprzętu oświetleniowego"
275,"Produkcja sprzętu gospodarstwa domowego"
279,"Produkcja pozostałego sprzętu elektrycznego"
291,"Produkcja pojazdów samochodowych, z wyłączeniem motocykli"
292,"Produkcja nadwozi do pojazdów silnikowych; produkcja przyczep i naczep"
293,"Produkcja części i akcesoriów do pojazdów silnikowych"
301,"Produkcja statków i łodzi"
302,"Produkcja lokomotyw kolejowych oraz taboru szynowego"
303,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn"
304,"Produkcja wojskowych pojazdów bojowych"
309,"Produkcja sprzętu transportowego, gdzie indziej niesklasyfikowana"
252,"Produkcja zbiorników, cystern i pojemników metalowych"
253,"Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą"
254,"Produkcja broni i amunicji"
255,"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków"
256,"Obróbka metali i nakładanie powłok na metale; obróbka mechaniczna elementów metalowych"
257,"Produkcja wyrobów nożowniczych, sztućców, narzędzi i wyrobów metalowych ogólnego przeznaczenia"
259,"Produkcja pozostałych gotowych wyrobów metalowych"
251,"Produkcja metalowych elementów konstrukcyjnych"
261,"Produkcja elektronicznych elementów i obwodów drukowanych"
262,"Produkcja komputerów i urządzeń peryferyjnych"
268,"Produkcja magnetycznych i optycznych niezapisanych nośników informacji"
263,"Produkcja sprzętu (tele)komunikacyjnego"
264,"Produkcja elektronicznego sprzętu powszechnego użytku"
