"pkdCode","section"
"A","ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO"
"B","GÓRNICTWO I WYDOBYWANIE"
"C","PRZETWÓRSTWO PRZEMYSŁOWE"
"E","DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ"
"F","BUDOWNICTWO"
"G","HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE"
"H","TRANSPORT I GOSPODARKA MAGAZYNOWA"
"I","DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI"
"J","INFORMACJA I KOMUNIKACJA"
"K","DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA"
"L","DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI"
"M","DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
"N","DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA"
"O","ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE"
"P","EDUKACJA"
"Q","OPIEKA ZDROWOTNA I POMOC SPOŁECZNA"
"R","DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ"
"S","POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA"
"U","ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE"
